epoch, accuracy, loss,
2131,0.965,0.32167958281319,
2132,0.965,0.32127338415308,
2133,0.955,0.31886963765563,
2134,0.96,0.31572853333765,
2135,0.955,0.31268640741971,
2136,0.955,0.31011011817585,
2137,0.95,0.30799282313897,
2138,0.95,0.30639261364089,
2139,0.955,0.3054702754728,
2140,0.96,0.30536149757646,
2141,0.96,0.30602223136262,
2142,0.965,0.30706762713609,
2143,0.97,0.30796651599664,
2144,0.965,0.30356952146292,
2145,0.97,0.30295216878958,
2146,0.97,0.30198717476315,
2147,0.96,0.30497739703163,
2148,0.96,0.30367117935921,
2149,0.96,0.30282565056245,
2150,0.96,0.30253464390887,
2151,0.96,0.30277965256519,
2152,0.96,0.30346914511006,
2153,0.96,0.30448038203874,
2154,0.96,0.30562981902161,
2155,0.96,0.30672040115842,
2156,0.965,0.30752727278968,
2157,0.965,0.30785421433962,
2158,0.965,0.30759389522916,
2159,0.965,0.30678968509548,
2160,0.965,0.30561716892496,
2161,0.965,0.30430976819512,
2162,0.96,0.30309076909303,
2163,0.96,0.30213762212981,
2164,0.96,0.30155913120477,
2165,0.96,0.30137322474246,
2166,0.96,0.30155460888184,
2167,0.96,0.30203054386006,
2168,0.96,0.30268844482307,
2169,0.96,0.30336152430377,
2170,0.965,0.30390114719841,
2171,0.965,0.30420750616501,
2172,0.965,0.3042326139326,
2173,0.965,0.30399546645839,
2174,0.965,0.30356644299563,
2175,0.96,0.30303378461616,
2176,0.96,0.34575563465019,
2177,0.96,0.34523191301988,
2178,0.96,0.34484399006731,
2179,0.96,0.34465300154996,
2180,0.96,0.34468830176371,
2181,0.96,0.34488296096019,
2182,0.96,0.34514179412362,
2183,0.96,0.34537048074713,
2184,0.96,0.34545791785173,
2185,0.96,0.38529052251421,
2186,0.965,0.38505531872565,
2187,0.96,0.38468687191378,
2188,0.96,0.38428814498484,
2189,0.96,0.3839439350788,
2190,0.96,0.38372262946569,
2191,0.96,0.3836701842139,
2192,0.96,0.38378290931894,
2193,0.96,0.38401366709102,
2194,0.96,0.38428003680525,
2195,0.965,0.38449565547701,
2196,0.965,0.38461644172107,
2197,0.965,0.38462671534622,
2198,0.965,0.38452439628629,
2199,0.965,0.38433594580574,
2200,0.965,0.38411133647247,
2201,0.95,0.30768880081726,
2202,0.92,0.28924003939319,
2203,0.915,0.27195194722318,
2204,0.92,0.2716058377948,
2205,0.945,0.28258871215306,
2206,0.955,0.28592568526038,
2207,0.945,0.28813413276463,
2208,0.94,0.28949191489951,
2209,0.935,0.30032056702943,
2210,0.925,0.30486123213287,
2211,0.925,0.30661199380886,
2212,0.935,0.31585255563822,
2213,0.955,0.2868389872683,
2214,0.955,0.27776239271645,
2215,0.95,0.2602249961165,
2216,0.945,0.2572457456666,
2217,0.945,0.25524722276993,
2218,0.945,0.3108590734336,
2219,0.96,0.31366378931243,
2220,0.965,0.30383863728643,
2221,0.955,0.29436876282544,
2222,0.945,0.29214084640106,
2223,0.945,0.28922094238654,
2224,0.945,0.36075846613632,
2225,0.945,0.36477606923116,
2226,0.945,0.37320108625995,
2227,0.955,0.34422020745519,
2228,0.97,0.31022843416873,
2229,0.96,0.30699321184816,
2230,0.96,0.3114872965713,
2231,0.965,0.31289708705624,
2232,0.965,0.31135190794561,
2233,0.965,0.30798444221457,
2234,0.96,0.30418823043101,
2235,0.955,0.35155499116035,
2236,0.95,0.38755602336905,
2237,0.95,0.38433539382855,
2238,0.95,0.37677596134759,
2239,0.955,0.33727666281729,
2240,0.96,0.33822046207039,
2241,0.96,0.29625169462203,
2242,0.97,0.29775136302872,
2243,0.97,0.29892559328204,
2244,0.97,0.29924941556281,
2245,0.97,0.29855722838678,
2246,0.97,0.29708647667794,
2247,0.96,0.29531647528097,
2248,0.96,0.29372685093953,
2249,0.96,0.29263190648484,
2250,0.96,0.29217591785293,
2251,0.96,0.29232855340894,
2252,0.96,0.29298995438305,
2253,0.96,0.29404103832222,
2254,0.96,0.29533415453118,
2255,0.96,0.29659747546085,
2256,0.965,0.29753410110368,
2257,0.965,0.29791780038952,
2258,0.965,0.29763742206186,
2259,0.965,0.34167476760765,
2260,0.965,0.38218441120641,
2261,0.96,0.3800971140392,
2262,0.96,0.37817133327471,
2263,0.96,0.37672123388475,
2264,0.96,0.37590315209872,
2265,0.96,0.37577670184154,
2266,0.96,0.3762718922275,
2267,0.96,0.37721200942138,
2268,0.96,0.37837996916869,
2269,0.96,0.37952610515346,
2270,0.965,0.38043104634755,
2271,0.965,0.38095122662794,
2272,0.965,0.38104265902634,
2273,0.965,0.38071869313024,
2274,0.965,0.38010147604655,
2275,0.96,0.37937328340565,
2276,0.96,0.3786849668352,
2277,0.96,0.37817343877767,
2278,0.96,0.37792785076102,
2279,0.96,0.37795418028785,
2280,0.96,0.37819873552019,
2281,0.96,0.37858221295109,
2282,0.96,0.37898966481675,
2283,0.96,0.37927715528606,
2284,0.965,0.37937019644026,
2285,0.965,0.37924415048917,
2286,0.965,0.37892891379182,
2287,0.96,0.3784957125644,
2288,0.96,0.37802910848307,
2289,0.96,0.37762208118051,
2290,0.96,0.3773695348915,
2291,0.96,0.37730083368449,
2292,0.96,0.37740676779201,
2293,0.96,0.37763147896309,
2294,0.96,0.37790826947057,
2295,0.96,0.37816118955727,
2296,0.96,0.37830929245655,
2297,0.965,0.37832600575666,
2298,0.965,0.37819368880699,
2299,0.965,0.37793397178807,
2300,0.965,0.37761344389478,
2301,0.935,0.30634896957197,
2302,0.92,0.29102501928471,
2303,0.905,0.26965048335103,
2304,0.92,0.29161917894666,
2305,0.94,0.2774944544332,
2306,0.965,0.27750201101729,
2307,0.94,0.27100233975983,
2308,0.935,0.32995299337437,
2309,0.92,0.33495974949829,
2310,0.92,0.33829282452019,
2311,0.92,0.34400005157106,
2312,0.92,0.35487939075085,
2313,0.955,0.30061571537544,
2314,0.95,0.30093074528938,
2315,0.95,0.31057535561977,
